MUNICÍPIO;1992;1993;1994;1995;1997;1998;1999;2001;2002;2003;2004;2005;2006;2008;2009;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Abadia de Goiás;-;-;-;-;3.457;3.553;3.647;5.230;5.415;5.621;6.054;6.294;6.531;6.182;6.301;7.022;7.164;7.567;7.733;7.895;8.053;8.207;8.583;8.773;8.958;9.158;19.141
Abadiânia;9.443;9.439;9.455;9.472;10.299;10.431;10.562;11.666;11.883;12.084;12.504;12.736;12.967;13.209;13.378;16.087;16.408;17.326;17.701;18.069;18.427;18.775;19.614;20.042;20.461;20.873;15.498
Acreúna;14.521;14.961;15.370;15.770;15.559;15.752;15.945;18.792;19.194;19.608;20.477;20.959;21.436;19.173;19.246;20.431;20.578;21.366;21.549;21.730;21.905;22.076;22.182;22.366;22.546;22.710;20.506
Adelândia;2.337;2.348;2.352;2.356;2.772;2.882;2.990;2.501;2.485;2.497;2.522;2.536;2.549;2.596;2.608;2.478;2.480;2.550;2.554;2.557;2.561;2.564;2.517;2.516;2.516;2.515;2.393
Água Fria de Goiás;3.989;3.996;4.006;4.015;3.679;3.601;3.524;4.527;4.573;4.621;4.722;4.778;4.833;5.243;5.318;5.138;5.184;5.395;5.451;5.507;5.560;5.613;5.676;5.735;5.793;5.843;5.546
Água Limpa;1.920;1.869;1.839;1.809;2.098;2.125;2.152;2.232;2.255;2.281;2.335;2.365;2.394;2.121;2.111;1.999;1.985;2.021;2.007;1.993;1.980;1.967;1.872;1.850;1.830;1.809;1.853
Águas Lindas de Goiás;-;-;-;-;71.752;80.516;89.200;116.122;123.730;132.076;149.598;159.294;168.919;139.804;143.179;163.495;167.477;177.890;182.526;187.072;191.499;195.810;207.070;212.440;217.698;222.850;208.892
Alexânia;17.074;17.528;18.008;18.476;19.596;20.426;21.248;20.504;20.799;21.148;21.881;22.287;22.689;20.661;20.706;24.103;24.383;25.468;25.805;26.135;26.457;26.770;27.288;27.653;28.010;28.360;28.690
Aloândia;1.978;1.922;1.891;1.860;2.033;2.042;2.050;2.144;2.157;2.170;2.198;2.213;2.229;2.121;2.118;2.045;2.040;2.089;2.084;2.079;2.075;2.071;2.005;1.995;1.986;1.976;1.891
Alto Horizonte;2.144;2.140;2.137;2.135;2.621;2.725;2.827;2.615;2.652;2.692;2.778;2.825;2.872;3.318;3.392;4.654;4.799;5.140;5.307;5.470;5.629;5.784;6.218;6.414;6.605;6.796;6.061
Alto Paraíso de Goiás;4.231;4.389;4.478;4.565;5.619;5.795;5.968;6.416;6.600;6.795;7.202;7.428;7.652;6.913;6.982;6.939;6.992;7.262;7.328;7.391;7.454;7.514;7.558;7.624;7.688;7.751;10.414
Alvorada do Norte;7.457;7.556;7.631;7.705;7.643;7.679;7.715;7.571;7.596;7.612;7.647;7.666;7.685;8.570;8.666;8.124;8.164;8.448;8.499;8.549;8.598;8.645;8.614;8.660;8.705;8.749;8.412
Amaralina;-;-;-;-;2.752;2.684;2.617;3.084;3.088;3.094;3.108;3.115;3.123;3.662;3.719;3.462;3.489;3.625;3.658;3.691;3.723;3.754;3.778;3.812;3.845;3.875;3.796
Americano do Brasil;4.841;4.826;4.811;4.795;5.233;5.305;5.376;4.937;4.948;4.955;4.970;4.978;4.986;4.811;4.795;5.552;5.595;5.813;5.866;5.918;5.969;6.018;6.057;6.111;6.164;6.220;4.937
Amorinópolis;4.345;4.285;4.220;4.157;4.196;4.107;4.018;4.109;4.085;4.058;4.000;3.968;3.936;3.549;3.484;3.568;3.529;3.570;3.528;3.487;3.447;3.408;3.185;3.126;3.069;3.011;2.982
